sample_id,field,option_A,option_B,resolution_1_note
S01,granularity,Other,Graph,能耗估计方法论不产生四类决策；其指导的剪枝属模型层
S02,object_type,专用加速器与体系结构,测量与基准设施,未给出通用测量方法 刻画对象与产出均为特定加速器
S118,category,建模,测量,提出碳排估计器→建模；与v3 M2把ACT记Analytical一致
S118,mechanism,Analytical,Other,M2例表直接列明
S120,category,Pareto,功耗,核心是精度-性能-碳排三目标权衡；未做DVFS或功率上限编排故不记功耗
S120,granularity,Graph,Power,两值中Graph更近（模型变体精度指派）；规则缺口：服务期变体选择非编译期图重写 §2未覆盖
S21,category,循环层,建模,§3建模vs循环层：以循环变换表达数据流的探索框架 非可复用代价模型
S58,category,异构,建模,规则缺口：与S55 ZigZag记建模的谱系一致性相反；其相对ZigZag的增量是多核分配与层融合调度 建议会上复核
S58,granularity,Placement,Loop/Op,与类别裁定一致；层融合调度为其手段
S59,mechanism,Learned,Other,"§1 Other要求""既不提出也不使用""；本文训练并在Ansor中部署代价模型 故排除Other"
S64,category,图层,循环层,联合工作；区别性贡献是跨图的布局变换消除
S64,granularity,Graph,Loop/Op,与类别裁定一致
S77,object_type,专用加速器与体系结构,通用编译栈,抽象机的目标是流式数据流硬件
S79,mechanism,Other,Learned,新规则：训练与剪枝算法不产生§1所列编译决策 机制记Other
S81,mechanism,Other,Analytical,逐层重构的数值求解 无代价模型无搜索 见S79
S84,mechanism,AutoSearch,Analytical,稀疏更新方案由内存约束下的进化搜索选出
S90,category,TinyML,Pareto,面向MCU内存约束的部署方法学
S91,category,TinyML,稀疏,目标是MCU部署；稀疏仅为手段 §3稀疏指稀疏性的编译支持
