sample_id,field,coder_A,coder_B,agreed,rule,note
S09,category,建模,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,规则缺口：编译器在环的软硬件协同DSE无对应行；按§3排除法定——贡献非可复用代价模型而是多目标设计空间遍历
S102,category,功耗,异构,功耗,coding-rubric-v2 §3 类别裁决表,规则缺口：§3无"功耗vs异构"行；按§2 Power需状态决策定 主线是频率与实例配置编排
S118,category,建模,测量,建模,coding-rubric-v2 §3 类别裁决表,提出碳排估计器→建模；与v3 M2把ACT记Analytical一致
S120,category,Pareto,功耗,Pareto,coding-rubric-v2 §3 类别裁决表,核心是精度-性能-碳排三目标权衡；未做DVFS或功率上限编排故不记功耗
S17,category,图层,Pareto,图层,coding-rubric-v2 §3 类别裁决表,§2 Graph含图级精度指派；逐层位宽指派属图层 RL只作用于机制维度
S18,category,图层,Pareto,图层,coding-rubric-v2 §3 类别裁决表,同S17 混合精度指派为图级决策
S19,category,图层,Pareto,图层,coding-rubric-v2 §3 类别裁决表,分解层融合与内部张量替换属图重写
S21,category,循环层,建模,循环层,coding-rubric-v2 §3 类别裁决表,§3建模vs循环层：以循环变换表达数据流的探索框架 非可复用代价模型
S22,category,异构,Pareto,异构,coding-rubric-v2 §3 类别裁决表,决策是层到子加速器的分配；新规则建议：评估中出现Pareto曲线不构成Pareto类
S25,category,循环层,AI4C,循环层,coding-rubric-v2 §3 类别裁决表,规则缺口：§3无"循环层vsAI4C"行。按建模vs循环层类推 学习组件不改类别 否则AutoTVM与Ansor同样落入AI4C
S29,category,异构,Pareto,异构,coding-rubric-v2 §3 类别裁决表,跨异构核的层切分属异构
S32,category,异构,TinyML,异构,coding-rubric-v2 §3 类别裁决表,面向异构AI加速器的图划分；目标非MCU级故不记TinyML
S35,category,建模,功耗,建模,coding-rubric-v2 §3 类别裁决表,规则缺口：§3无"建模vs功耗"行；按建模通用判据（提出模型或估计器）定 论文主标题即latency modeling
S44,category,循环层,AI4C,循环层,coding-rubric-v2 §3 类别裁决表,无学习或LLM组件；B取值疑为串行误填 其机制列同时出现Agentic
S46,category,AI4C,循环层,AI4C,coding-rubric-v2 §3 类别裁决表,对象是通用编译器pass序列选择 非张量调度
S56,category,循环层,Pareto,循环层,coding-rubric-v2 §3 类别裁决表,贡献是映射与调度的约束优化求解
S57,category,循环层,Pareto,循环层,coding-rubric-v2 §3 类别裁决表,贡献是映射空间的搜索方法
S58,category,异构,建模,异构,coding-rubric-v2 §3 类别裁决表,规则缺口：与S55 ZigZag记建模的谱系一致性相反；其相对ZigZag的增量是多核分配与层融合调度 建议会上复核
S59,category,建模,测量,测量,coding-rubric-v2 §3 类别裁决表,贡献是数据集与基准而非新模型；与机制列Learned并存 见该行注
S60,category,建模,AI4C,建模,coding-rubric-v2 §3 类别裁决表,§3建模vsAI4C：贡献是可复用的学习型代价模型
S64,category,图层,循环层,图层,coding-rubric-v2 §3 类别裁决表,联合工作；区别性贡献是跨图的布局变换消除
S68,category,循环层,AI4C,循环层,coding-rubric-v2 §3 类别裁决表,同S25口径 RL探索模块服务于调度搜索 不改类别
