sample_id,category,boundary,granularity,mechanism
S01,建模,桥接,Graph,Analytical
S02,测量,桥接,Other,Other
S03,建模,桥接,Other,Analytical
S04,建模,桥接,Loop/Op,AutoSearch
S05,建模,桥接,Loop/Op,Analytical
S06,循环层,核心,Loop/Op,Learned
S07,循环层,核心,Loop/Op,Learned
S08,建模,桥接,Graph,Learned
S09,Pareto,前沿,Other,AutoSearch
S10,测量,前沿,Other,Other
S11,建模,桥接,Other,Analytical
S12,图层,核心,Graph,AutoSearch
S13,图层,核心,Graph,AutoSearch
S14,图层,核心,Graph,Analytical
S15,图层,核心,Graph,AutoSearch
S16,图层,核心,Graph,AutoSearch
S17,Pareto,桥接,Graph,Learned
S18,Pareto,前沿,Graph,AutoSearch
S19,Pareto,前沿,Graph,AutoSearch
S20,建模,桥接,Loop/Op,Analytical
S21,建模,桥接,Loop/Op,AutoSearch
S22,Pareto,桥接,Placement,AutoSearch
S23,循环层,核心,Loop/Op,Analytical
S24,循环层,核心,Loop/Op,AutoSearch
S25,AI4C,核心,Loop/Op,Learned
S26,循环层,核心,Loop/Op,Analytical
S27,循环层,核心,Loop/Op,AutoSearch
S28,建模,前沿,Placement,Analytical
S29,Pareto,桥接,Graph,Learned
S30,放置,桥接,Placement,AutoSearch
S31,放置,前沿,Placement,AutoSearch
S32,边缘,前沿,Graph,AutoSearch
S33,放置,核心,Placement,Learned
S34,放置,核心,Placement,Learned
S35,功耗,前沿,Power,Learned
S36,功耗,桥接,Power,AutoSearch
S37,功耗,桥接,Power,Learned
S38,功耗,前沿,Power,Analytical
S39,功耗,前沿,Power,AutoSearch
S40,循环层,核心,Loop/Op,AutoSearch
S41,AI4C,核心,Loop/Op,Learned
S42,AI4C,前沿,Loop/Op,Agentic
S43,AI4C,前沿,Loop/Op,Agentic
S44,AI4C,前沿,Loop/Op,Agentic
S45,AI4C,前沿,Loop/Op,Agentic
S46,循环层,核心,Loop/Op,Analytical
S47,功耗,桥接,Power,AutoSearch
S48,功耗,核心,Power,AutoSearch
S49,Pareto,桥接,Other,AutoSearch
S50,Pareto,桥接,Other,Learned
S51,Pareto,前沿,Other,AutoSearch
S52,建模,桥接,Graph,Learned
S53,建模,桥接,Graph,Analytical
S54,建模,前沿,Graph,Learned
S55,建模,桥接,Loop/Op,AutoSearch
S56,Pareto,桥接,Loop/Op,AutoSearch
S57,Pareto,桥接,Loop/Op,Learned
S58,建模,桥接,Loop/Op,Analytical
S59,测量,核心,Other,Other
S60,AI4C,核心,Loop/Op,Learned
S61,图层,核心,Graph,AutoSearch
S62,图层,核心,Graph,AutoSearch
S63,图层,核心,Graph,AutoSearch
S64,循环层,核心,Loop/Op,AutoSearch
S65,图层,核心,Graph,AutoSearch
S66,图层,核心,Graph,AutoSearch
S67,循环层,核心,Loop/Op,AutoSearch
S68,AI4C,核心,Loop/Op,Learned
S69,循环层,核心,Loop/Op,Learned
S70,循环层,核心,Loop/Op,Other
S71,循环层,核心,Loop/Op,Learned
S72,稀疏,桥接,Other,Other
S73,稀疏,核心,Loop/Op,Analytical
S74,稀疏,核心,Other,Other
S75,稀疏,核心,Loop/Op,Analytical
S76,稀疏,核心,Other,Other
S77,稀疏,核心,Loop/Op,Analytical
S78,稀疏,桥接,Loop/Op,Other
S79,稀疏,桥接,Graph,Learned
S80,稀疏,桥接,Graph,Learned
S81,稀疏,桥接,Graph,Analytical
S82,边缘,桥接,Graph,AutoSearch
S83,边缘,桥接,Graph,AutoSearch
S84,边缘,桥接,Graph,Analytical
S85,边缘,桥接,Loop/Op,Other
S86,边缘,桥接,Loop/Op,Other
S87,边缘,核心,Other,Other
S88,边缘,桥接,Loop/Op,Analytical
S89,边缘,桥接,Graph,Other
S90,Pareto,桥接,Graph,AutoSearch
S91,稀疏,桥接,Graph,AutoSearch
S92,边缘,桥接,Graph,Learned
S93,边缘,桥接,Graph,Analytical
S94,建模,桥接,Other,Other
S95,功耗,桥接,Power,Learned
S96,测量,桥接,Other,Other
S97,建模,桥接,Power,Analytical
S98,建模,桥接,Other,Analytical
S99,测量,桥接,Other,Other
S100,测量,前沿,Other,Other
S101,放置,前沿,Placement,Analytical
S102,放置,前沿,Placement,AutoSearch
S103,AI4C,核心,Loop/Op,Learned
S104,AI4C,核心,Other,Other
S105,AI4C,核心,Loop/Op,Learned
S106,AI4C,前沿,Loop/Op,Learned
S107,AI4C,前沿,Loop/Op,Agentic
S108,AI4C,前沿,Loop/Op,Agentic
S109,测量,桥接,Other,Other
S110,测量,桥接,Other,Other
S111,测量,桥接,Other,Other
S112,测量,前沿,Other,Other
S113,测量,桥接,Other,Other
S114,测量,桥接,Other,Other
S115,测量,桥接,Other,Other
S116,测量,桥接,Other,Other
S117,测量,桥接,Other,Other
S118,测量,桥接,Other,Other
S119,建模,前沿,Other,Analytical
S120,功耗,前沿,Power,AutoSearch
S121,测量,前沿,Other,Other
