sample_id,bibkey,name,year,venue,granularity,mechanism,notes
S06,chen_learning_2018,Chen 等：AutoTVM / Learning to Optimize Tensor Programs,2018,NeurIPS,,,
S07,zheng_ansor_2020,Zheng 等：Ansor,2020,OSDI,,,
S104,cummins_compilergym_2022,Cummins 等：CompilerGym,2022,CGO,,,
S105,haj-ali_neurovectorizer_2020,Haj-Ali 等：NeuroVectorizer,2020,CGO,,,
S109,reddi_mlperf_2020,Reddi 等：MLPerf Inference,2020,ISCA,,,
S112,tschand_mlperf_2025,Tschand 等：MLPerf Power,2025,HPCA,,,
S115,fahad_comparative_2019,Fahad 等：计算能耗测量方法比较,2019,Energies,,,
S118,gupta_act_2022,Gupta 等：ACT,2022,ISCA,,,
S18,quantunev2_2025,QuantuneV2,2025,FGCS,,,
S19,temco2024,TeMCO,2024,ICPP,,,
S23,zhu_roller_2022,Zhu 等：Roller,2022,OSDI,,,
S26,baghdadi_tiramisu_2019,Baghdadi 等：Tiramisu,2019,CGO,,,
S32,nestc2024,NEST-C,2024,ETRI J.,,,
S33,mirhoseini2017placement,Mirhoseini 等：Device Placement Optimization with Reinforcement Learning,2017,ICML,,,
S35,han2025dvfsaware,Han 等：DVFS-aware DNN Inference Modeling,2025,ICC,,,
S45,greens2025,Generating Energy-efficient Code with LLMs,2025,GREENS (ICSE workshop),,,
S48,chung2024perseus,Perseus,2024,SOSP,,,
S49,reagen2017bayesopt,Reagen 等：Bayesian DSE for Accelerators,2017,ISLPED,,,
S55,mei_zigzag_2021,Mei 等：ZigZag,2021,IEEE TC,,,
S65,jain_checkmate_2020,Jain 等：Checkmate,2020,MLSys,,,
S71,shao_tensor_2022,Shao 等：MetaSchedule,2022,ASPLOS,,,
S76,bik_compiler_2022,Bik 等：MLIR 稀疏张量支持,2022,ACM TACO,,,
S77,hsu_sparse_2023,Hsu 等：Sparse Abstract Machine,2023,ASPLOS,,,
S78,gale_sparse_2020,Gale 等：Sparse GPU Kernels,2020,SC,,,
S82,lin_mcunet_2020,Lin 等：MCUNet,2020,NeurIPS,,,
S86,capotondi_cmix-nn_2020,Capotondi 等：CMix-NN,2020,IEEE TCAS-II,,,
S93,minakova_buffer_2020,Minakova \,2020,DSD,,,
S94,xi_smaug_2020,Xi 等：SMAUG,2020,ACM TACO,,,
S96,tang_impact_2019,Tang 等：GPU DVFS 对深度学习能耗与性能的影响,2019,ACM e-Energy,,,
S97,guerreiro_gpgpu_2018,Guerreiro 等：多电压域 GPGPU 功耗建模,2018,IEEE HPCA,,,
