sample_id,field,coder_A,coder_B,agreed,rule,note
S09,category,建模,Pareto,Pareto,coding-rubric-v2 §3,两裁决一致；贡献是多目标软硬件DSE而非可复用代价模型
S102,category,功耗,异构,功耗,coding-rubric-v2 §3,两裁决一致；异构为场景条件不构成类别
S118,category,建模,测量,建模,coding-rubric-v2 §3,采A：§3"提出模型或估计器→建模"；v3 M2已把同类的LLMCarbon记Analytical。对象类型另记测量与基准设施 两维度无需同向
S120,category,Pareto,功耗,Pareto,coding-rubric-v2 §3,采A：§3的功耗以DVFS/功率上限编排为要件 Clover的决策是模型变体与GPU分区 不满足
S17,category,图层,Pareto,图层,coding-rubric-v2 §3,采A 依R1：约束下的单目标位宽指派 非前沿遍历
S18,category,图层,Pareto,图层,coding-rubric-v2 §3,采A 依R1
S19,category,图层,Pareto,图层,coding-rubric-v2 §3,采A 依R1
S21,category,循环层,建模,建模,coding-rubric-v2 §3,采B：与S04/S20/S55同属加速器映射与能耗分析框架谱系
S22,category,异构,Pareto,异构,coding-rubric-v2 §3,采A 依R1：评估中出现权衡曲线不构成Pareto类
S25,category,循环层,AI4C,循环层,coding-rubric-v2 §3,采A 依R5：张量程序调度含学习组件仍记循环层
S29,category,异构,Pareto,异构,coding-rubric-v2 §3,采A 依R1
S32,category,异构,TinyML,异构,coding-rubric-v2 §3,两裁决一致
S35,category,建模,功耗,建模,coding-rubric-v2 §3,两裁决一致
S44,category,循环层,AI4C,循环层,coding-rubric-v2 §3,两裁决一致；B列疑为整行错位 建议单独向B核对
S46,category,AI4C,循环层,AI4C,coding-rubric-v2 §3,两裁决一致 依R5：对象是通用编译器pass序列
S56,category,循环层,Pareto,循环层,coding-rubric-v2 §3,采A 依R1：约束优化求解非前沿构造
S57,category,循环层,Pareto,循环层,coding-rubric-v2 §3,采A 依R1
S58,category,异构,建模,建模,coding-rubric-v2 §3,采B：与S21同谱系 ZigZag系后继
S59,category,建模,测量,测量,coding-rubric-v2 §3,两裁决一致
S60,category,建模,AI4C,建模,coding-rubric-v2 §3,两裁决一致 依R5的反面：独立贡献即代价模型
S64,category,图层,循环层,循环层,coding-rubric-v2 §3,采B：以算子模板调优为主线 与其粒度和机制一并改判
S68,category,循环层,AI4C,循环层,coding-rubric-v2 §3,采A 依R5
S90,category,TinyML,Pareto,TinyML,coding-rubric-v2 §3,采A 依R1
S91,category,TinyML,稀疏,TinyML,coding-rubric-v2 §3,采A：§3的稀疏要件是"稀疏性的编译支持" SpArSe不提供
S01,granularity,Other,Graph,Loop/Op,coding-rubric-v2 §2/§1,采第三值：与S52 S53同为逐层能耗估计器 原A的Other与本表自身不自洽
S102,granularity,Power,Placement,Power,coding-rubric-v2 §2/§1,两裁决一致；缺口R7：含频率与实例并行两类决策 规则无主决策判据
S103,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,两裁决一致：IR表征基础设施
S106,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2缺口：pass级决策不落四类粒度 待增设IR/Pass后全组改判
S108,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2
S120,granularity,Graph,Power,Graph,coding-rubric-v2 §2/§1,采A：§2列有图级精度指派；缺口R6 该指派发生在服务期而非编译期
S29,granularity,Placement,Graph,Placement,coding-rubric-v2 §2/§1,两裁决一致
S32,granularity,Placement,Graph,Placement,coding-rubric-v2 §2/§1,两裁决一致
S41,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2
S42,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2
S43,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2
S45,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2：源码级改写非循环嵌套
S46,granularity,Other,Loop/Op,Other,coding-rubric-v2 §2/§1,采A 依R2
S52,granularity,Loop/Op,Graph,Loop/Op,coding-rubric-v2 §2/§1,两裁决一致：预测单元是层
S53,granularity,Loop/Op,Graph,Loop/Op,coding-rubric-v2 §2/§1,两裁决一致
S58,granularity,Placement,Loop/Op,Placement,coding-rubric-v2 §2/§1,采A：相对ZigZag的增量是核间分配 满足§2位置决策要件；同R7缺口
