S,BibKey,Name,Year,Venue,Category,NearestSection,Subtype,Open,ObjectType,Mechanism,Granularity
S01,yang\_method\_2017,Yang 等：A Method to Estimate the Energy Consumption of Deep Neural Networks,2017,Asilomar,建模,\S\ref{sec:modeling},解析估计,否,测量与基准设施,Analytical,Loop/Op
S02,ghose2021mensa,Boroumand 等：Google Neural Network Models for Edge Devices,2021,PACT,测量,\S\ref{sec:measurement},真机实测,否,测量与基准设施,Other,Other
S03,wu\_accelergy\_2019,Wu 等：Accelergy,2019,ICCAD,建模,\S\ref{sec:modeling},解析模型,是,专用加速器与体系结构,Analytical,Other
S04,parashar\_timeloop\_2019,Parashar 等：Timeloop,2019,ISPASS,建模,\S\ref{sec:modeling},解析模型,是,专用加速器与体系结构,AutoSearch,Loop/Op
S05,wu\_sparseloop\_2022,Wu 等：Sparseloop,2022,MICRO,建模,\S\ref{sec:modeling},解析模型,是,专用加速器与体系结构,Analytical,Loop/Op
S06,chen\_learning\_2018,Chen 等：AutoTVM / Learning to Optimize Tensor Programs,2018,NeurIPS,循环层,\S\ref{sec:loop},学习代价模型,是,通用编译栈,AutoSearch,Loop/Op
S07,zheng\_ansor\_2020,Zheng 等：Ansor,2020,OSDI,循环层,\S\ref{sec:loop},学习代价模型,是,通用编译栈,AutoSearch,Loop/Op
S08,zhang2021nnmeter,Zhang 等：nn-Meter,2021,MobiSys,建模,\S\ref{sec:modeling},学习代价模型,是,测量与基准设施,Learned,Graph
S09,palomero2025compileraware,Palomero Bernardo 等：Compiler-aware AI Hardware Design for Edge Devices,2025,EdgeSys,Pareto,\S\ref{sec:pareto},编译器感知建模,否,专用加速器与体系结构,AutoSearch,Other
S10,kang2025edgegpu,Kang 等：Evaluation of GPU-Accelerated Edge Platforms for Stochastic Simulations,2025,Mathematics,测量,\S\ref{sec:measurement},真机实测,否,测量与基准设施,Other,Other
S11,yang2025energyroofline,Verhelst 等：How to Keep Pushing ML Accelerator Performance? Know Your Rooflines!,2025,IEEE JSSC,建模,\S\ref{sec:modeling},概念模型,否,专用加速器与体系结构,Analytical,Other
S12,shi2023welder,Shi 等：WELDER,2023,OSDI,图层,\S\ref{sec:graph},机制设计,是,通用编译栈,AutoSearch,Graph
S13,jia\_taso\_2019,Jia 等：TASO,2019,SOSP,图层,\S\ref{sec:graph},机制设计,是,通用编译栈,AutoSearch,Graph
S14,ma\_rammer\_2020,Ma 等：Rammer,2020,OSDI,图层,\S\ref{sec:graph},系统机制,是,通用编译栈,Analytical,Graph
S15,zheng\_astitch\_2022,Zheng 等：AStitch,2022,ASPLOS,图层,\S\ref{sec:graph},机制设计,否,通用编译栈,AutoSearch,Graph
S16,zhao\_apollo\_2022,Zhao 等：Apollo,2022,MLSys,图层,\S\ref{sec:graph},机制设计,否,通用编译栈,AutoSearch,Graph
S17,wang2019haq,Wang 等：HAQ,2019,CVPR,图层,\S\ref{sec:graph},硬件感知量化,是,负载与模型层,Learned,Graph
S18,quantunev2\_2025,QuantuneV2,2025,FGCS,图层,\S\ref{sec:graph},编译量化机制,否,通用编译栈,Analytical,Graph
S19,temco2024,TeMCO,2024,ICPP,图层,\S\ref{sec:graph},内存优化机制,否,通用编译栈,Analytical,Graph
S20,kwon\_understanding\_2019,Kwon 等：MAESTRO,2019,MICRO,建模,\S\ref{sec:modeling},解析模型,是,专用加速器与体系结构,Analytical,Loop/Op
S21,yang\_interstellar\_2020,Yang 等：Interstellar,2020,ASPLOS,建模,\S\ref{sec:modeling},dataflow 分析,否,专用加速器与体系结构,AutoSearch,Loop/Op
S22,kwon2021heterodataflow,Kwon 等：Heterogeneous Dataflow Accelerators for Multi-DNN Workloads,2021,HPCA,异构,\S\ref{sec:hetero},真机/模拟结合,否,专用加速器与体系结构,AutoSearch,Placement
S23,zhu\_roller\_2022,Zhu 等：Roller,2022,OSDI,循环层,\S\ref{sec:loop},tiling 机制,是,通用编译栈,Analytical,Loop/Op
S24,ding\_hidet\_2023,Ding 等：Hidet,2023,ASPLOS,循环层,\S\ref{sec:loop},编程抽象,是,通用编译栈,AutoSearch,Loop/Op
S25,adams\_learning\_2019,Adams 等：Learning to Optimize Halide with Tree Search,2019,SIGGRAPH,循环层,\S\ref{sec:loop},自动调度,是,通用编译栈,AutoSearch,Loop/Op
S26,baghdadi\_tiramisu\_2019,Baghdadi 等：Tiramisu,2019,CGO,循环层,\S\ref{sec:loop},多面体编译,是,通用编译栈,Other,Loop/Op
S27,vasilache\_next\_2019,Vasilache 等：Tensor Comprehensions,2019,ACM TACO,循环层,\S\ref{sec:loop},多面体编译,是,通用编译栈,AutoSearch,Loop/Op
S28,multinpu2026,Compute-Efficient Modelling of Multi-NPU Inference on Edge MPSoCs,2026,ACM TACO,建模,\S\ref{sec:modeling},建模+系统调度,否,专用加速器与体系结构,Analytical,Placement
S29,risso2023odimo,Risso 等：ODiMO,2023,ISLPED,异构,\S\ref{sec:hetero},训练期放置搜索,是,专用加速器与体系结构,Learned,Placement
S30,jeong2022band,Jeong 等：Band,2022,MobiSys,异构,\S\ref{sec:hetero},系统调度,是,通用编译栈,AutoSearch,Placement
S31,adms2025,ADMS: Optimizing Multi-DNN Scheduling on Mobile Devices,2025,TMC,异构,\S\ref{sec:hetero},系统调度,否,通用编译栈,AutoSearch,Placement
S32,nestc2024,NEST-C,2024,ETRI J.,异构,\S\ref{sec:hetero},编译器框架,否,通用编译栈,AutoSearch,Placement
S33,mirhoseini2017placement,Mirhoseini 等：Device Placement Optimization with Reinforcement Learning,2017,ICML,异构,\S\ref{sec:hetero},学习型放置,否,通用编译栈,Learned,Placement
S34,addanki2019placeto,Placeto,2019,NeurIPS,异构,\S\ref{sec:hetero},学习型放置,否,通用编译栈,Learned,Placement
S35,han2025dvfsaware,Han 等：DVFS-aware DNN Inference Modeling,2025,ICC,建模,\S\ref{sec:modeling},真机/建模结合,否,专用加速器与体系结构,Analytical,Power
S36,dvfo2024,DVFO,2024,TMC,功耗,\S\ref{sec:power},联合优化机制,否,通用编译栈,Learned,Power
S37,powerlens2024,PowerLens,2024,DAC,功耗,\S\ref{sec:power},运行时调控,否,通用编译栈,Learned,Power
S38,powerflow2026,Chen等：PowerFlow-DNN,2026,ISLPED,功耗,\S\ref{sec:power},编译期编排,是,专用加速器与体系结构,Analytical,Power
S39,regate2025,ReGate,2025,MICRO,功耗,\S\ref{sec:power},ISA/硬件机制,是,专用加速器与体系结构,Analytical,Power
S40,neu\_affine\_energy,Jayaweera等：Energy-Aware Tile Size Selection for Affine Programs on GPUs,2024,CGO,循环层,\S\ref{sec:loop},能耗感知分块搜索,否,通用编译栈,AutoSearch,Loop/Op
S41,haj-ali\_autophase\_2020,Haj-Ali 等：AutoPhase,2020,MLSys,AI4C,\S\ref{sec:ai4c},学习型 pass 排序,否,通用编译栈,AutoSearch,Other
S42,cummins2025llm,Cummins 等：LLM Compiler,2025,CC,AI4C,\S\ref{sec:ai4c},基础模型优化,否,通用编译栈,Agentic,Other
S43,compilerr1\_2025,Compiler-R1,2025,NeurIPS,AI4C,\S\ref{sec:ai4c},Agent/RL 优化,是,通用编译栈,Agentic,Other
S44,zhao2025polymorphous,PolyMorphous,2025,IPDPS,循环层,\S\ref{sec:loop},变换基础设施,否,通用编译栈,Other,Loop/Op
S45,greens2025,Generating Energy-efficient Code with LLMs,2025,GREENS (ICSE workshop),AI4C,\S\ref{sec:ai4c},能效导向生成,否,通用编译栈,Agentic,Other
S46,mlcomp2021,MLComp,2021,DATE,AI4C,\S\ref{sec:ai4c},多目标编译,否,通用编译栈,Learned,Other
S47,you2023zeus,Zeus,2023,NSDI,功耗,\S\ref{sec:power},系统前沿导航,是,负载与模型层,AutoSearch,Power
