sample_id,category,boundary,granularity,mechanism
S01,建模,核心,Graph,Analytical
S02,测量,桥接,Other,Other
S03,建模,桥接,Other,Analytical
S04,建模,桥接,Loop/Op,AutoSearch
S05,稀疏,桥接,Loop/Op,Analytical
S06,循环层,核心,Loop/Op,AutoSearch
S07,循环层,核心,Loop/Op,AutoSearch
S08,建模,核心,Graph,Learned
S09,Pareto,前沿,Other,AutoSearch
S10,测量,前沿,Other,Other
S11,建模,前沿,Other,Analytical
S12,图层,核心,Graph,AutoSearch
S13,图层,核心,Graph,AutoSearch
S14,图层,核心,Graph,Analytical
S15,图层,核心,Graph,AutoSearch
S16,图层,核心,Graph,AutoSearch
S17,Pareto,桥接,Graph,Learned
S18,Pareto,前沿,Graph,Analytical
S19,图层,核心,Graph,Analytical
S20,建模,桥接,Loop/Op,Analytical
S21,循环层,桥接,Loop/Op,AutoSearch
S22,异构,桥接,Placement,Analytical
S23,循环层,核心,Loop/Op,Analytical
S24,循环层,核心,Loop/Op,AutoSearch
S25,循环层,桥接,Loop/Op,AutoSearch
S26,循环层,桥接,Loop/Op,Analytical
S27,循环层,桥接,Loop/Op,AutoSearch
S28,异构,前沿,Placement,Analytical
S29,Pareto,桥接,Graph,AutoSearch
S30,异构,核心,Placement,AutoSearch
S31,异构,前沿,Placement,AutoSearch
S32,异构,前沿,Graph,Analytical
S33,异构,桥接,Placement,Learned
S34,异构,桥接,Placement,Learned
S35,功耗,前沿,Power,Analytical
S36,功耗,核心,Power,Learned
S37,功耗,前沿,Power,Learned
S38,功耗,前沿,Power,AutoSearch
S39,功耗,前沿,Power,Analytical
S40,循环层,桥接,Loop/Op,AutoSearch
S41,AI4C,桥接,Other,Learned
S42,AI4C,前沿,Other,Agentic
S43,AI4C,前沿,Other,Agentic
S44,循环层,前沿,Loop/Op,Analytical
S45,AI4C,前沿,Other,Agentic
S46,AI4C,桥接,Other,Learned
S47,功耗,核心,Power,AutoSearch
S48,功耗,核心,Power,AutoSearch
S49,Pareto,桥接,Other,AutoSearch
S50,Pareto,桥接,Other,Learned
S51,Pareto,前沿,Other,AutoSearch
S52,建模,核心,Graph,Learned
S53,建模,核心,Graph,Analytical
S54,建模,前沿,Graph,Learned
S55,Pareto,桥接,Loop/Op,AutoSearch
S56,Pareto,桥接,Loop/Op,AutoSearch
S57,Pareto,桥接,Loop/Op,AutoSearch
S58,Pareto,前沿,Graph,AutoSearch
S59,AI4C,桥接,Other,Other
S60,AI4C,核心,Loop/Op,Learned
S61,图层,核心,Graph,AutoSearch
S62,图层,核心,Graph,AutoSearch
S63,图层,核心,Graph,AutoSearch
S64,循环层,核心,Loop/Op,Analytical
S65,图层,核心,Graph,AutoSearch
S66,图层,核心,Graph,AutoSearch
S67,循环层,核心,Loop/Op,AutoSearch
S68,循环层,桥接,Loop/Op,AutoSearch
S69,循环层,桥接,Loop/Op,AutoSearch
S70,循环层,核心,Loop/Op,Other
S71,循环层,核心,Loop/Op,AutoSearch
S72,稀疏,桥接,Loop/Op,Analytical
S73,稀疏,桥接,Loop/Op,Analytical
S74,稀疏,桥接,Loop/Op,Other
S75,稀疏,核心,Loop/Op,Other
S76,稀疏,桥接,Loop/Op,Other
S77,稀疏,桥接,Loop/Op,Other
S78,稀疏,核心,Loop/Op,Other
S79,稀疏,核心,Graph,Learned
S80,稀疏,核心,Graph,Analytical
S81,稀疏,核心,Graph,Analytical
S82,TinyML,核心,Graph,AutoSearch
S83,TinyML,核心,Graph,AutoSearch
S84,TinyML,核心,Graph,Analytical
S85,TinyML,核心,Loop/Op,Other
S86,TinyML,核心,Loop/Op,Other
S87,TinyML,核心,Other,Other
S88,TinyML,核心,Loop/Op,AutoSearch
S89,TinyML,核心,Graph,AutoSearch
S90,TinyML,核心,Graph,AutoSearch
S91,TinyML,核心,Graph,AutoSearch
S92,TinyML,核心,Graph,AutoSearch
S93,TinyML,核心,Graph,Analytical
S94,TinyML,桥接,Other,Other
S95,功耗,桥接,Power,Learned
S96,测量,桥接,Other,Other
S97,建模,桥接,Other,Analytical
S98,建模,桥接,Other,Analytical
S99,测量,桥接,Other,Other
S100,测量,前沿,Other,Other
S101,异构,前沿,Placement,AutoSearch
S102,功耗,前沿,Power,AutoSearch
S103,AI4C,桥接,Other,Other
S104,AI4C,桥接,Other,Other
S105,AI4C,桥接,Loop/Op,Learned
S106,AI4C,前沿,Other,Agentic
S107,AI4C,前沿,Loop/Op,Agentic
S108,AI4C,前沿,Other,Agentic
S109,测量,桥接,Other,Other
S110,测量,桥接,Other,Other
S111,测量,桥接,Other,Other
S112,测量,前沿,Other,Other
S113,测量,桥接,Other,Other
S114,测量,桥接,Other,Other
S115,测量,桥接,Other,Other
S116,测量,桥接,Other,Other
S117,测量,桥接,Other,Analytical
S118,测量,桥接,Other,Analytical
S119,测量,前沿,Other,Analytical
S120,功耗,核心,Power,AutoSearch
S121,测量,前沿,Other,Other
