sample_id,bibkey,name,year,venue,category,boundary,granularity,mechanism
S01,yang_method_2017,Yang 等：A Method to Estimate the Energy Consumption of Deep Neural Networks,2017,Asilomar,建模,核心,Loop/Op,Analytical
S02,ghose2021mensa,Boroumand 等：Google Neural Network Models for Edge Devices,2021,PACT,建模,核心,Other,Other
S03,wu_accelergy_2019,Wu 等：Accelergy,2019,ICCAD,建模,核心,Loop/Op,Analytical
S04,parashar_timeloop_2019,Parashar 等：Timeloop,2019,ISPASS,建模,核心,Loop/Op,Analytical
S05,wu_sparseloop_2022,Wu 等：Sparseloop,2022,MICRO,建模,核心,Loop/Op,Analytical
S06,chen_learning_2018,Chen 等：AutoTVM / Learning to Optimize Tensor Programs,2018,NeurIPS,建模,桥接,Loop/Op,Learned
S07,zheng_ansor_2020,Zheng 等：Ansor,2020,OSDI,建模,桥接,Loop/Op,Learned
S08,zhang2021nnmeter,Zhang 等：nn-Meter,2021,MobiSys,建模,桥接,Loop/Op,Learned
S09,palomero2025compileraware,Palomero Bernardo 等：Compiler-aware AI Hardware Design for Edge Devices,2025,EdgeSys,建模,前沿,Loop/Op,Analytical
S10,kang2025edgegpu,Kang 等：Evaluation of GPU-Accelerated Edge Platforms for Stochastic Simulations,2025,Mathematics,建模,核心,Other,Other
S11,yang2025energyroofline,Verhelst 等：How to Keep Pushing ML Accelerator Performance? Know Your Rooflines!,2025,IEEE JSSC,建模,桥接,Loop/Op,Analytical
S12,shi2023welder,Shi 等：WELDER,2023,OSDI,图层,核心,Graph,Analytical
S13,jia_taso_2019,Jia 等：TASO,2019,SOSP,图层,桥接,Graph,AutoSearch
S14,ma_rammer_2020,Ma 等：Rammer,2020,OSDI,图层,桥接,Graph,Other
S15,zheng_astitch_2022,Zheng 等：AStitch,2022,ASPLOS,图层,桥接,Graph,Other
S16,zhao_apollo_2022,Zhao 等：Apollo,2022,MLSys,图层,桥接,Graph,Other
S17,wang2019haq,Wang 等：HAQ,2019,CVPR,图层,核心,Graph,Learned
S18,quantunev2_2025,QuantuneV2,2025,FGCS,图层,前沿,Graph,Other
S19,temco2024,TeMCO,2024,ICPP,图层,核心,Graph,Other
S20,kwon_understanding_2019,Kwon 等：MAESTRO,2019,MICRO,循环层,核心,Loop/Op,Analytical
S21,yang_interstellar_2020,Yang 等：Interstellar,2020,ASPLOS,循环层,核心,Loop/Op,Analytical
S22,kwon2021heterodataflow,Kwon 等：Heterogeneous Dataflow Accelerators for Multi-DNN Workloads,2021,HPCA,循环层,核心,Loop/Op,Other
S23,zhu_roller_2022,Zhu 等：Roller,2022,OSDI,循环层,桥接,Loop/Op,Other
S24,ding_hidet_2023,Ding 等：Hidet,2023,ASPLOS,循环层,桥接,Loop/Op,Other
S25,adams_learning_2019,Adams 等：Learning to Optimize Halide with Tree Search,2019,SIGGRAPH,循环层,桥接,Loop/Op,AutoSearch
S26,baghdadi_tiramisu_2019,Baghdadi 等：Tiramisu,2019,CGO,循环层,桥接,Loop/Op,Other
S27,vasilache_next_2019,Vasilache 等：Tensor Comprehensions,2019,ACM TACO,循环层,桥接,Loop/Op,Other
S28,multinpu2026,Compute-Efficient Modelling of Multi-NPU Inference on Edge MPSoCs,2026,ACM TECS,异构,前沿,Placement,Analytical
S29,risso2023odimo,Risso 等：ODiMO,2023,DATE,异构,核心,Placement,AutoSearch
S30,jeong2022band,Jeong 等：Band,2022,MobiSys,异构,桥接,Placement,Other
S31,adms2025,ADMS: Optimizing Multi-DNN Scheduling on Mobile Devices,2025,TMC,异构,前沿,Placement,Other
S32,nestc2024,NEST-C,2024,ETRI J.,异构,核心,Placement,Other
S33,mirhoseini2017placement,Mirhoseini 等：Device Placement Optimization with Reinforcement Learning,2017,ICML,异构,桥接,Placement,Learned
S34,addanki2019placeto,Placeto,2019,NeurIPS,异构,桥接,Placement,Learned
S35,han2025dvfsaware,Han 等：DVFS-aware DNN Inference Modeling,2025,ICC,功耗,核心,Power,Analytical
S36,dvfo2024,DVFO,2024,TMC,功耗,核心,Power,AutoSearch
S37,powerlens2024,PowerLens,2024,DAC,功耗,核心,Power,Other
S38,powerflow2026,Chen等：PowerFlow-DNN,2026,ISLPED,功耗,前沿,Power,AutoSearch
S39,regate2025,ReGate,2025,MICRO,功耗,核心,Power,Other
S40,neu_affine_energy,Jayaweera等：Energy-Aware Tile Size Selection for Affine Programs on GPUs,2024,CGO,功耗,核心,Power,AutoSearch
S41,haj-ali_autophase_2020,Haj-Ali 等：AutoPhase,2020,MLSys,AI4C,桥接,Other,Other
S42,cummins2025llm,Cummins 等：LLM Compiler,2025,CC,AI4C,前沿,Other,Other
S43,compilerr1_2025,Compiler-R1,2025,NeurIPS,AI4C,前沿,Other,Other
S44,zhao2025polymorphous,PolyMorphous,2025,IPDPS,AI4C,桥接,Other,Other
S45,greens2025,Generating Energy-efficient Code with LLMs,2025,GREENS (ICSE workshop),AI4C,桥接,Other,Other
S46,mlcomp2021,MLComp,2021,DATE,Pareto,核心,Other,Other
S47,you2023zeus,Zeus,2023,NSDI,Pareto,桥接,Other,Other
S48,chung2024perseus,Perseus,2024,SOSP,Pareto,桥接,Other,Other
S49,reagen2017bayesopt,Reagen 等：Bayesian DSE for Accelerators,2017,ISLPED,Pareto,桥接,Other,Other
