"S","BibKey","Name","Category","NearestSection","Subtype","HeuristicGranularity","HeuristicMechanism","IndependentGranularity","IndependentMechanism","Disagreement"
"S14","ma\_rammer\_2020","Ma 等：Rammer","图层","\S\ref{sec:graph}","系统机制","Graph","Other","","",""
"S29","risso2023odimo","Risso 等：ODiMO","异构","\S\ref{sec:hetero}","多目标放置","Placement","AutoSearch","","",""
"S69","anderson\_efficient\_2021","Anderson 等：GPU 自动调度","循环层","\S\ref{sec:loop}","自动调度","Loop/Op","AutoSearch","","",""
"S72","chen\_eyeriss\_2019","Chen 等：Eyeriss v2","循环层","\S\ref{sec:loop}","数据流设计","Loop/Op","Other","","",""
"S116","holly\_profiling\_2020","Holly 等：Jetson 平台能耗剖析","测量","\S\ref{sec:measurement}","真机实测","Other","Other","","",""
"S40","neu\_affine\_energy","Jayaweera等：Energy-Aware Tile Size Selection for Affine Programs on GPUs","功耗","\S\ref{sec:power}","仿射变换建模","Power","AutoSearch","","",""
"S05","wu\_sparseloop\_2022","Wu 等：Sparseloop","建模","\S\ref{sec:modeling}","解析模型","Loop/Op","Analytical","","",""
"S59","zheng\_tenset\_2021","Zheng 等：TenSet","建模","建模","\S\ref{sec:modeling}","Other","Other","","",""
"S30","jeong2022band","Jeong 等：Band","异构","\S\ref{sec:hetero}","系统调度","Placement","Other","","",""
"S22","kwon2021heterodataflow","Kwon 等：Heterogeneous Dataflow Accelerators for Multi-DNN Workloads","循环层","\S\ref{sec:loop}","真机/模拟结合","Loop/Op","Other","","",""
"S64","liu\_optimizing\_2019","Liu 等：Optimizing CNN Inference on CPUs","图层","\S\ref{sec:graph}","布局优化","Graph","Other","","",""
"S66","peng\_capuchin\_2020","Peng 等：Capuchin","图层","\S\ref{sec:graph}","内存管理","Graph","Other","","",""
"S79","zhou\_learning\_2021","Zhou 等：N:M 结构化稀疏","稀疏","\S\ref{sec:loop}","稀疏模式设计","Other","Other","","",""
"S26","baghdadi\_tiramisu\_2019","Baghdadi 等：Tiramisu","循环层","\S\ref{sec:loop}","多面体编译","Loop/Op","Other","","",""
"S48","chung2024perseus","Perseus","Pareto","\S\ref{sec:pareto}","系统前沿导航","Other","Other","","",""
"S03","wu\_accelergy\_2019","Wu 等：Accelergy","建模","\S\ref{sec:modeling}","解析模型","Loop/Op","Analytical","","",""
"S73","kjolstad\_tensor\_2017","Kjolstad 等：TACO","稀疏","\S\ref{sec:loop}","编译器构造","Other","Other","","",""
"S113","khan\_rapl\_2018","Khan 等：RAPL 适用性研究","测量","\S\ref{sec:measurement}","测量方法学","Other","Other","","",""
"S104","cummins\_compilergym\_2022","Cummins 等：CompilerGym","AI4C","\S\ref{sec:ai4c}","环境与基准","Other","Other","","",""
"S61","niu\_dnnfusion\_2021","Niu 等：DNNFusion","图层","\S\ref{sec:graph}","融合机制","Graph","Other","","",""
"S52","cai\_neuralpower\_2017","Cai 等：NeuralPower","建模","\S\ref{sec:modeling}","学习型能耗预测","Loop/Op","Learned","","",""
"S16","zhao\_apollo\_2022","Zhao 等：Apollo","图层","\S\ref{sec:graph}","机制设计","Graph","Other","","",""
"S56","huang\_cosa\_2021","Huang 等：CoSA","建模","\S\ref{sec:modeling}","约束求解映射","Loop/Op","AutoSearch","","",""
"S76","bik\_compiler\_2022","Bik 等：MLIR 稀疏张量支持","稀疏","\S\ref{sec:loop}","编译器构造","Other","Other","","",""
"S109","reddi\_mlperf\_2020","Reddi 等：MLPerf Inference","测量","\S\ref{sec:measurement}","基准","Other","Other","","",""
"S49","reagen2017bayesopt","Reagen 等：Bayesian DSE for Accelerators","Pareto","\S\ref{sec:pareto}","贝叶斯优化","Other","Other","","",""
"S34","addanki2019placeto","Placeto","异构","\S\ref{sec:hetero}","学习型放置","Placement","Learned","","",""
"S32","nestc2024","NEST-C","异构","\S\ref{sec:hetero}","编译器框架","Placement","Other","","",""
"S117","gupta\_chasing\_2021","Gupta 等：Chasing Carbon","Pareto","\S\ref{sec:pareto}","碳排分解","Other","Other","","",""
"S83","lin\_mcunetv2\_2021","Lin 等：MCUNetV2","TinyML","\S\ref{sec:open}","内存调度","Other","Other","","",""
