sample_id,field,coder_A,coder_B,agreed,rule,note
S09,category,建模,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,核心是多目标软硬件设计空间权衡而不是单一代价模型
S102,category,功耗,异构,功耗,coding-rubric-v2 §3 类别裁决表,DynamoLLM 是能耗管理框架；异构性是场景条件
S118,category,建模,测量,测量,coding-rubric-v2 §3 类别裁决表,ACT 属碳排放和能耗核算方法；按测量处理
S120,category,Pareto,功耗,功耗,coding-rubric-v2 §3 类别裁决表,Clover 核心是碳感知能耗调度；按功耗状态/能源管理归类
S17,category,图层,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,HAQ 的核心是精度选择中的精度-资源权衡
S18,category,图层,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,混合精度量化以精度和效率权衡为核心
S19,category,图层,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,核心是张量分解/内存优化中的多目标权衡
S21,category,循环层,建模,建模,coding-rubric-v2 §3 类别裁决表,Interstellar 用调度语言分析加速器映射；贡献偏建模分析
S22,category,异构,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,多 DNN 数据流加速器的核心是吞吐/能耗等设计权衡
S25,category,循环层,AI4C,AI4C,coding-rubric-v2 §3 类别裁决表,使用学习/搜索方法优化 Halide 调度；按 AI4C
S29,category,异构,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,ODiMO 进行延迟和能耗平衡；按多目标权衡
S32,category,异构,TinyML,异构,coding-rubric-v2 §3 类别裁决表,NEST-C 是面向异构计算系统和 AI 加速器的编译框架
S35,category,建模,功耗,建模,coding-rubric-v2 §3 类别裁决表,论文核心是 DVFS-aware 延迟建模与性能分析
S44,category,循环层,AI4C,循环层,coding-rubric-v2 §3 类别裁决表,PolyMorphous 是 MLIR/polyhedral 循环变换编译器；未体现 LLM/学习决策
S46,category,AI4C,循环层,AI4C,coding-rubric-v2 §3 类别裁决表,MLComp 以机器学习辅助编译优化序列选择为核心
S56,category,循环层,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,CoSA 面向加速器映射空间的多目标优化
S57,category,循环层,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,Mind Mappings 核心是映射空间搜索和 Pareto 权衡
S58,category,异构,建模,建模,coding-rubric-v2 §3 类别裁决表,Stream 主要贡献是层融合数据流加速器建模/DSE框架
S59,category,建模,测量,测量,coding-rubric-v2 §3 类别裁决表,TenSet 是张量程序性能数据集和评测资源
S60,category,建模,AI4C,建模,coding-rubric-v2 §3 类别裁决表,TLP 的独立贡献是深度学习型代价模型
S64,category,图层,循环层,循环层,coding-rubric-v2 §3 类别裁决表,NeoCPU 的优化对象是 CPU 上的算子和 kernel
S68,category,循环层,AI4C,AI4C,coding-rubric-v2 §3 类别裁决表,Chameleon 使用自适应采样和强化学习加速代码优化
S90,category,TinyML,Pareto,Pareto,coding-rubric-v2 §3 类别裁决表,Memory-driven mixed precision 的核心是精度-内存-效率权衡
