sample_id,category,boundary,granularity,mechanism
S01,建模,桥接,Other,Other
S02,测量,桥接,Other,Other
S03,建模,桥接,Other,Other
S04,建模,桥接,Loop/Op,AutoSearch
S05,建模,桥接,Loop/Op,Analytical
S06,循环层,核心,Loop/Op,Learned
S07,循环层,核心,Loop/Op,AutoSearch
S08,建模,核心,Graph,Learned
S09,建模,桥接,Other,AutoSearch
S10,测量,前沿,Other,Other
S11,建模,桥接,Other,Analytical
S12,图层,核心,Graph,AutoSearch
S13,图层,核心,Graph,AutoSearch
S14,图层,核心,Graph,Analytical
S15,图层,核心,Graph,Analytical
S16,图层,核心,Graph,AutoSearch
S17,图层,桥接,Graph,Learned
S18,图层,核心,Graph,Analytical
S19,图层,核心,Graph,Analytical
S20,建模,桥接,Loop/Op,Analytical
S21,循环层,桥接,Loop/Op,AutoSearch
S22,放置,桥接,Placement,AutoSearch
S23,循环层,核心,Loop/Op,Analytical
S24,循环层,核心,Loop/Op,AutoSearch
S25,循环层,核心,Loop/Op,Learned
S26,循环层,核心,Loop/Op,Other
S27,循环层,核心,Loop/Op,AutoSearch
S28,建模,桥接,Placement,Analytical
S29,放置,桥接,Placement,Learned
S30,放置,核心,Placement,Analytical
S31,放置,核心,Placement,AutoSearch
S32,放置,核心,Placement,Analytical
S33,放置,核心,Placement,Learned
S34,放置,核心,Placement,Learned
S35,建模,核心,Power,Analytical
S36,功耗,核心,Power,Learned
S37,功耗,核心,Power,Learned
S38,功耗,核心,Power,Analytical
S39,功耗,桥接,Power,Analytical
S40,循环层,核心,Loop/Op,Analytical
S41,AI4C,核心,Other,Learned
S42,AI4C,核心,Other,Agentic
S43,AI4C,核心,Other,Agentic
S44,循环层,核心,Loop/Op,Other
S45,AI4C,前沿,Other,Agentic
S46,AI4C,核心,Other,Learned
S47,功耗,核心,Power,Learned
S48,功耗,核心,Power,AutoSearch
S49,Pareto,桥接,Other,AutoSearch
S50,Pareto,桥接,Other,Learned
S51,Pareto,桥接,Other,AutoSearch
S52,建模,核心,Loop/Op,Learned
S53,建模,核心,Loop/Op,Learned
S54,建模,核心,Graph,Learned
S55,建模,桥接,Loop/Op,AutoSearch
S56,循环层,桥接,Loop/Op,AutoSearch
S57,循环层,桥接,Loop/Op,Learned
S58,放置,桥接,Placement,AutoSearch
S59,建模,核心,Other,Learned
S60,建模,核心,Loop/Op,Learned
S61,图层,核心,Graph,Analytical
S62,图层,核心,Graph,AutoSearch
S63,图层,核心,Graph,AutoSearch
S64,图层,核心,Graph,Analytical
S65,图层,核心,Graph,AutoSearch
S66,图层,核心,Graph,Analytical
S67,循环层,核心,Loop/Op,AutoSearch
S68,循环层,核心,Loop/Op,Learned
S69,循环层,核心,Loop/Op,AutoSearch
S70,循环层,核心,Loop/Op,AutoSearch
S71,循环层,核心,Loop/Op,AutoSearch
S72,稀疏,桥接,Other,Other
S73,稀疏,核心,Loop/Op,Other
S74,稀疏,核心,Loop/Op,Other
S75,稀疏,核心,Loop/Op,AutoSearch
S76,稀疏,核心,Loop/Op,Other
S77,稀疏,桥接,Other,Other
S78,稀疏,桥接,Other,Other
S79,稀疏,桥接,Other,Other
S80,稀疏,桥接,Other,AutoSearch
S81,稀疏,桥接,Other,Other
S82,TinyML,核心,Other,AutoSearch
S83,TinyML,核心,Graph,AutoSearch
S84,TinyML,核心,Graph,AutoSearch
S85,TinyML,桥接,Other,Other
S86,TinyML,桥接,Other,Other
S87,TinyML,核心,Other,Other
S88,TinyML,核心,Loop/Op,AutoSearch
S89,TinyML,桥接,Other,AutoSearch
S90,TinyML,核心,Graph,Analytical
S91,TinyML,桥接,Other,AutoSearch
S92,TinyML,桥接,Other,Learned
S93,TinyML,核心,Graph,Analytical
S94,建模,桥接,Other,Other
S95,功耗,桥接,Power,Learned
S96,测量,桥接,Other,Other
S97,建模,桥接,Power,Analytical
S98,建模,桥接,Other,Other
S99,测量,桥接,Other,Other
S100,测量,桥接,Other,Other
S101,放置,桥接,Placement,Analytical
S102,功耗,桥接,Power,Analytical
S103,AI4C,核心,Other,Learned
S104,AI4C,桥接,Other,Other
S105,AI4C,核心,Loop/Op,Learned
S106,AI4C,核心,Other,Agentic
S107,AI4C,核心,Loop/Op,Agentic
S108,AI4C,桥接,Other,Agentic
S109,测量,桥接,Other,Other
S110,测量,桥接,Other,Other
S111,测量,桥接,Other,Other
S112,测量,桥接,Other,Other
S113,测量,桥接,Other,Other
S114,测量,桥接,Other,Other
S115,测量,桥接,Other,Other
S116,测量,桥接,Other,Other
S117,测量,前沿,Other,Other
S118,建模,桥接,Other,Other
S119,建模,桥接,Other,Other
S120,Pareto,桥接,Graph,Analytical
S121,测量,前沿,Other,Other
